0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,198,554,761,1183,1334,1579,99,376,657,901,1042,1268,1456,1759,1939,2119
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.001559246,0,0.004857806,0,0.000769935,0,0,0.001649563,0,0.005895577,0,0.000675658,0.000684603,0.00059201,0.000659668
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000841469,0,0,0,0,0,0,0.000666979,0,0,0,0.295357466,0,0,0,0,0
0,0,0,0,0.008280364,0,0,0,0,0,0,0.00489317,0,0,0,0,0
0.000766616,0,0,0,0.144839055,0,0,0.000790188,0,0,0,0.088487057,0,0,0,0,0
0,0,0,0,0.000712581,0,0,0,0,0,0,0.000795352,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00283247,0,0,0,0,0,0,0.002598099,0,0,0,0,0
0,0,0,0,0.005603159,0,0,0,0,0,0,0.005129753,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.006207997,0,0,0,0,0,0,0.006241878,0,0,0,0,0
0,0,0,0,0.006486974,0,0,0.440948076,0.457631079,0.162317013,0.192084539,0.007470637,0.409867488,0.11780008,0.241260845,0.118019909,0.294885903
0,0,0.002363223,0,0.002910542,0.000905891,0,0,0,0.001672772,0,0.003100834,0.000749113,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.012385769,0,0,0,0,0,0,0.009490269,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00079081,0,0,0.003502871,0.007893779,0.484788281,0.027432266,0.000838886,0,0,0.002939767,0.007608763,0.271248636,0.022437118,0.024390857,0.024286483,0.03018373
0,0,0,0,0.003214016,0,0,0,0,0,0,0.002258853,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
