0,1,2,3,4,5,6
0,198,554,761,1183,1334,1579
0,0,0,0,0,0,0
0,0,0.001559246,0,0.004857806,0,0.000769935
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.000841469,0,0,0,0,0,0
0,0,0,0,0.008280364,0,0
0.000766616,0,0,0,0.144839055,0,0
0,0,0,0,0.000712581,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.00283247,0,0
0,0,0,0,0.005603159,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.006207997,0,0
0,0,0,0,0.006486974,0,0
0,0,0.002363223,0,0.002910542,0.000905891,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.012385769,0,0
0,0,0,0,0,0,0
0.00079081,0,0,0.003502871,0.007893779,0.484788281,0.027432266
0,0,0,0,0.003214016,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.003486944,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.039754774,0,0.003794457
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.004518264,0.018546339,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.000762786,0.054317838,0,0.000842507
0,0,0,0.00076572,0,0,0.000924991
0,0,0.001634769,0,0,0.015067831,0.001689669
0,0,0,0,0,0,0
0,0,0,0.001902094,0,0,0
0,0,0,0.004007903,0,0.060889876,0.000833262
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.009998888,0,0.00999998,0,0.00087363,0.149412787
0,0,0,0,0,0,0
0,0,0.000766325,0,0,0,0
0,0,0,0,0.003623439,0,0
0,0,0,0,0,0,0
0,0,0,0,0.002555513,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.000903918,0,0.008614149,0,0
0.000933398,0,0,0.000911293,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
