0,1,2,3,4,5,6,7,8
0,176,544,629,855,1079,1223,1392,1595
0.020608,0.01397,0.023797,0.0027,0,0.02384,0,0.106398,0.078684
0.017449858,0.006995198,0.050813441,0.009958557,0.022361999,0.005197664,0.029843,0.00776549,0.004315523
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.003857292,0,0,0,0,0,0,0,0
0,0.000813505,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.009940788,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.025807912,0.024161067,0.08566108,0.033146426,0.065308951,0.044400623,0,0.004622131,0.028100864
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0.00088138,0.003114581,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.001061242,0.001019996,0.001881298,0.002041672,0.001027061,0,0.000858364,0.000890219,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.043874431,0.04517778,0.008740374,0.072110443,0.025498276,0.069005007,0,0,0.003824928
0.048942918,0.084471379,0.029934754,0.048328769,0.031568564,0.041786836,0,0,0.001022349
0.038749929,0.037652913,0.040654648,0.021627298,0.018882225,0.053085439,0,0,0.017563783
0.001037243,0.002081924,0.000803228,0.000896736,0,0.010494779,0,0,0
0.000927463,0.000938709,0.003718099,0.000976465,0.001809258,0.002466498,0,0,0
0.096739008,0.066206645,0.156838758,0.024843281,0.054130548,0.172840103,0,0,0.005137266
0,0,0,0,0,0.000889242,0,0,0
0,0,0,0,0,0,0,0,0
0,0.000836399,0,0,0,0.003443326,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.004095131,0.01384799,0.000896623,0.019609185,0.017875442,0.084872331,0,0,0
0,0,0,0,0,0,0,0,0
0,0.002796471,0.000902244,0.006449378,0.000894068,0.030031826,0,0.0009716,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.004247386,0.010542476,0.014043918,0.003120829,0.014809274,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.032576588,0.019979494,0,0.014671855,0.021968885,0.031955106,0.001021069,0,0.013442195
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.059108471,0.002145717,0,0,0.01811799,0.013718733,0.602836961,0.817783692,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.001068141,0,0,0,0.000852619,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.000931325,0,0,0,0.001682096,0,0,0,0
0.02736898,0.050060468,0.046593683,0.064716892,0.013786408,0.00879558,0,0,0.004976353
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.250234942,0.162829962,0.292305951,0.136621519,0.191398334,0.146222601,0.000934488,0.046670556,0.049540385
0,0.000973018,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.000861181
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.001865236,0,0.003367099,0.033682394,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.001899379,0.000847477,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.001881383,0,0,0.000940381,0.000941489,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00093374,0.000913112,0,0,0,0,0,0,0
0.001956272,0.000965266,0.002065162,0.001016208,0.003782293,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.00094397,0.005048164,0.028130466,0.006235932,0.002575359,0.016367657,0,0,0.002042601
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.003643877,0.007303357,0.002983379,0.005300882,0.002043344,0.001813572,0,0,0.002100104
0,0,0,0,0,0,0,0,0
0.000935598,0,0,0.006650741,0.003005976,0.011415631,0,0,0
0.001056984,0.004289234,0.008231501,0.001997954,0.001807788,0.00708505,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.002925022,0.001076611,0.00536339,0.001063532,0.004040861,0.032684985,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0.001882339,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.003857704,0.001974076,0,0.001635447,0.006023378,0.016825827,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.014165996,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.000838398,0,0.000964622,0,0,0,0
0,0,0,0,0,0,0,0,0
0.047471588,0.063576552,0.090087008,0.057110273,0.04463574,0.024613019,0,0.003110114,0.004768213
0,0.000827348,0,0,0,0,0,0,0
0.019776192,0.045800166,0.031951391,0.069590536,0.085344857,0.110754344,0,0,0.006927403
0.001783722,0.034690628,0.011840391,0.0537958,0.007251353,0.014881214,0,0,0
0.004284211,0.005642356,0.008493004,0.00983526,0.001855425,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.010781982,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.000984713,0,0,0,0,0.002861685,0,0,0
0.000997988,0,0,0,0.003984449,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.001056929,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0.001982849,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.000824134
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.082898024,0.147290404,0.016238043,0.152499718,0.093862654,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.025091451,0,0.003087224,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.051703729,0.069994954,0.023180139,0.14594808,0.196449463,0,0.000911445,0,0
0,0.000958373,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
