0,1,2,3,4,5,6,7
0,404,520,754,832,1135,1377,1515
0,0,0,0,0,0,0,0
0.009141097,0.02152577,0.003300645,0.002877402,0.017180244,0.003007582,0,0.015346725
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0.00090273,0,0
0,0,0,0,0,0,0,0
0,0,0,0.000883781,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.126111089,0.054506063,0.02333045,0.030948266,0.023732562,0.04615132,0.000914698,0.03031677
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0.000938517,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.000921326,0,0.002245074,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.057113169,0.070316832,0.003736269,0.044717064,0.0132554,0.003656992,0.000832361,0.002175533
0,0.029277938,0.002666349,0.114006456,0.0089637,0.006800215,0.011273463,0.01286036
0,0.024940934,0.008128606,0.016764056,0.033266508,0.000818201,0.001746986,0.00968625
0,0,0.004026587,0.001713476,0.002212858,0,0,0
0,0.000886694,0,0,0.010076997,0,0,0.001023081
0.058678408,0.008840086,0.016713904,0.001804056,0.025655438,0.029244669,0,0.1569475
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.001007128
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0.001907381,0.000838317,0.005745245,0.001786294,0,0.000912217,0.003439097
0,0,0,0,0,0,0,0
0.038525968,0,0.001049075,0.006868672,0,0,0,0.034951859
0,0.001017737,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0.003051529,0.001628775,0,0.002925514,0.005678749,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0.001007756,0,0,0,0,0,0
0.030392749,0.006607314,0.044752024,0.095462648,0.017117225,0.01399585,0.00407527,0.029535374
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.014904249,0.0011101,0.015617583,0.002056992,0,0,0.008241286,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
